client_streetname,client_streetnumber,client_postalcode,client_city,address_id,client_country
Cottonwood,9298,31991,Vila Pouca da Beira,A461O,Portugal
Morrow,551,82322,Langsa,A994V,Indonesia
Summer Ridge,318,8342,Senadan,A838O,Indonesia
Buhler,4781,43011,Dayr Mawās,A861J,Egypt
Messerschmidt,57,98853,Panjiang,A905J,China
Manufacturers,17280,98263,Glubokiy,A685L,Russia
Gateway,49477,30647,São Julião do Tojal,A597Z,Portugal
Burrows,3032,95396,Sumberan,A854W,Indonesia
Talmadge,59529,95345,Klimovsk,A641X,Russia
Swallow,39991,47452,Qiaole,A469G,China
Morrow,5,67362,Banjar Kawan,A340I,Indonesia
Mockingbird,8035,27671,Apengjiang,A092O,China
Doe Crossing,3476,31246,Houmt Souk,A101C,Tunisia
Sommers,79506,82888,Sargodha,A346E,Pakistan
Del Mar,2756,57123,Nanxindian,A155N,China
Burrows,0,93881,Tucupita,A233H,Venezuela
Miller,2,87676,Carrigtwohill,A664H,Ireland
Sherman,57562,73193,Jiepai,A142T,China
Old Shore,906,44192,Lüyang,A165R,China
Golf View,361,86080,Guanyinge,A985L,China
Moulton,190,28894,Ketapang,A289L,Indonesia
Fallview,668,2992,Poděbrady,A212J,Czech Republic
Lyons,78,12953,Néa Pélla,A414D,Greece
Ludington,6342,95719,Masipi West,A274X,Philippines
Golf,8,6757,Vetlanda,A951N,Sweden
Petterle,14,86226,Saint-Étienne,A375Z,France
East,8172,43926,Osielec,A359S,Poland
Little Fleur,3216,42042,Anin,A162G,Indonesia
Vernon,5179,93849,Skoútari,A066Y,Greece
Bluestem,1,70115,Biguo,A231M,China
Hoepker,58,58135,Glasnevin,A208T,Ireland
Helena,81,55671,Doumen,A925G,China
8th,93,18680,Llano de Piedra,A615V,Panama
Dwight,476,87009,Bāsht,A643L,Iran
Nobel,10,84848,Elx/Elche,A669O,Spain
Judy,3471,994,Langchuan,A798B,China
Granby,1,3382,Loivos,A870R,Portugal
Oneill,9,36036,Kimito,A587Q,Finland
Logan,81447,72492,Kalipucang,A386H,Indonesia
Bowman,21164,17298,Shuidun,A788S,China
Darwin,1867,2030,Kōnosu,A118O,Japan
Packers,38121,73295,Dukuhbadag,A205Z,Indonesia
Blackbird,9,76310,Braunschweig,A775N,Germany
Hanson,9,1281,Agrínio,A379P,Greece
Reindahl,19809,91640,Niihama,A254R,Japan
Brickson Park,18753,4068,Munggang,A669Y,Indonesia
La Follette,8,55806,Rimpeso,A102T,Philippines
Pepper Wood,10,15300,Lokoja,A974O,Nigeria
Mesta,47,9523,Zhangjiawo,A887P,China
Clemons,51071,33632,Gwanda,A950J,Zimbabwe
Pleasure,8805,32278,Pacapausa,A795O,Peru
Springview,3619,18130,Huangtan,A841F,China
Cherokee,85457,38998,Rosario,A651C,Philippines
Lawn,87,41315,Mahalapye,A903F,Botswana
Summer Ridge,4,18653,Maubin,A316J,Myanmar
Gale,47939,48518,Pong,A501V,Thailand
Badeau,4,62839,Tyukalinsk,A891U,Russia
Esch,64404,49115,Kuncen,A185E,Indonesia
Stoughton,23,77682,Aglalana,A312A,Philippines
Anhalt,4901,94260,Welibo,A143Y,Indonesia
Shoshone,7595,81810,Asempapak,A769L,Indonesia
Lunder,32,43560,Watulumbung,A541C,Indonesia
Menomonie,528,22390,Parravak’ar,A201Z,Armenia
Moland,4,55753,Överkalix,A537C,Sweden
Barby,82,63032,Besançon,A807B,France
Stoughton,1,24626,Oslo,A965K,Norway
Welch,67300,68817,Enrekang,A835M,Indonesia
Lighthouse Bay,67,38544,Hlusk,A558M,Belarus
Chive,5333,83250,Tembayangan Barat,A215A,Indonesia
Cambridge,6256,2952,Haradok,A025M,Belarus
Southridge,2020,86234,Aleksandrovac,A989A,Serbia
Eagle Crest,6934,18875,Krasni Okny,A929K,Ukraine
Mosinee,350,80247,Naze,A775F,Japan
Hoffman,5790,92241,Esperalvillo,A210F,Dom. Republic
Crownhardt,928,40276,Ganxi,A186C,China
Toban,8555,64846,Morfovoúni,A068J,Greece
Lotheville,1789,44345,Ferrol,A143T,Philippines
Thierer,881,84449,Berkovitsa,A698G,Bulgaria
Nelson,847,13826,Värnamo,A627S,Sweden
School,1419,17794,Nglego,A537W,Indonesia
Hudson,75,58898,Przelewice,A315C,Poland
Thierer,7780,47399,London,A853J,Canada
Lindbergh,59571,5113,Mengzhai,A878G,China
Morrow,9,79712,Qijia,A400Z,China
Macpherson,89220,19028,Kashin,A134F,Russia
Sloan,2165,55904,Huayllo,A448M,Peru
8th,63128,80860,Hakha,A256M,Myanmar
Everett,781,73696,Angatel,A881Y,Philippines
Mendota,33820,61129,Artsvanist,A388J,Armenia
Algoma,706,94673,Itamaraju,A999N,Brazil
Buell,2100,23505,Zagórów,A933N,Poland
Harper,71706,22245,E’zhou,A999P,China
Macpherson,558,75730,Santa Rosa,A252D,Mexico
Bartillon,3611,16657,Domanín,A488O,Czech Republic
Brown,90484,26554,Lidian,A911V,China
Pawling,2280,56808,Ngundaan,A234H,Indonesia
Transport,937,74129,Irapa,A115O,Venezuela
Brickson Park,271,34035,Kotlovka,A317I,Russia
Graedel,92,55395,Phayakkhaphum Phisai,A487L,Thailand
Clemons,66783,1941,Yangji,A346A,China
