car_vin,car_registration_number,car_maker,car_model,car_color,car_release_year,car_cur_value,contract_code,categoryID
WP0CA2A8XAU597209,AMQ6374,Chevrolet,Classic,Teal,2004,"€23111,29",R9E49MB3ZAZF5,C934F
1N4AL2AP7CN387341,SVH5193,Buick,Coachbuilder,Mauv,1994,"€15205,01",H9T78FX7NKVJ2,C058Q
1FMEU6DE9AU497894,KQP2727,Mercedes-Benz,W123,Pink,1977,"€47906,04",W8T31MD5EMHQ9,C210G
2C3CDXHG0CH777150,DXV4541,Honda,Ridgeline,Red,2012,"€76894,76",S0G80VG5RZCL8,C221E
WBA3C3C53FP110518,RDN0928,Chevrolet,Camaro,Puce,2002,"€1513,66",A7C46TQ4FSVT1,C060C
2C4RDGBG5CR250049,RNE2920,Dodge,Ram Van B250,Fuscia,1994,"€7806,73",L3P19IB7HEQH5,C617S
1YVHZ8BH5A5465284,QYH6991,BMW,M3,Fuscia,2008,"€30386,33",D8O66LW1TFBR7,C060W
1GKS2GEJ7DR254470,HJW1761,BMW,6 Series,Fuscia,2008,"€16884,63",B1Z35BP9IBXL5,C259I
KL4CJBSBXDB119215,BSO8270,Porsche,928,Mauv,1988,"€91483,83",K6A60WQ0MJMH0,C076S
JHMZE2H53AS929687,QHG0531,Acura,RL,Goldenrod,2010,"€78066,16",H4U33JP6QWEL8,C460K
SCBLF44J17C965547,NVD6601,Suzuki,SX4,Goldenrod,2012,"€88107,25",L2R32IQ3RBAN2,C443V
5FPYK1F51EB908852,PBY2691,Chevrolet,Camaro,Teal,1969,"€77911,72",R2Y03VZ8PTRG3,C457C
3VW217AU9FM764528,RVV2144,Mercury,Tracer,Green,1999,"€83607,76",S5A51ND3LMMO8,C006T
3C4PDDEG4ET003638,VQA2317,Subaru,SVX,Indigo,1997,"€15932,06",T8D32CA1WAYE9,C694D
5TDBW5G14FS100417,BVX0795,GMC,1500 Club Coupe,Pink,1994,"€83814,86",T3J07FD3BCFP7,C547O
WAUEL94FX5N444915,FDJ9151,Chrysler,300C,Crimson,2005,"€3034,38",U1D99FJ8YWEH6,C768Z
SCBCR63W04C361063,HJI2760,Buick,LeSabre,Fuscia,1998,"€42971,79",M0K75HL4OANC0,C443R
1C6RD7NT5CS881172,LYN8981,GMC,Sierra 3500,Red,2005,"€76273,53",A9E83KV6ARXQ8,C744T
2G4GN5EC1B9498780,WQK9027,Subaru,Alcyone SVX,Purple,1993,"€74168,47",V7M86UT1OAOZ7,C757Q
3VW217AU0FM114809,UHC8115,Mercury,Topaz,Orange,1986,"€86978,43",C1T46IP2ASEF5,C017K
1GKKRNED9DJ996880,WHO8154,Cadillac,Fleetwood,Turquoise,1992,"€93209,53",R1G06MG2ZAIT2,C608L
1FTEW1C83FF100656,OSZ9665,Ford,Mustang,Blue,2012,"€50787,93",V6O21VR5TTNT5,C858X
JTHBE1BL9FA174092,EOA3495,Lotus,Elise,Orange,2010,"€40580,48",C5W51CC0DQCT9,C793I
3GYEK63N12G200453,KKX0712,BMW,X5,Aquamarine,2000,"€12183,74",Y6T27DP0UWJY7,C952S
SCFBF03B87G004255,HIV9733,Saturn,Sky,Orange,2009,"€79078,22",Z5Q20OB1RBZM3,C681C
WUARU78EX7N829453,IKL2507,Mazda,MPV,Teal,2004,"€65371,65",E8B07JW7KXUJ6,C829H
1G6DM5ED9B0460911,RBU0627,Ford,Ranger,Green,2001,"€87047,12",B0F46IC9EXAR0,C929Y
1N6AD0CU5CC116480,PJH3205,Mercury,Tracer,Purple,1999,"€70414,74",E8U44WG4ULIL5,C778D
WAUCH74F39N951433,ZOV5852,Audi,S4,Turquoise,2004,"€85481,62",Z6V58LX9IMCI3,C840Q
WAUPL58E94A552418,OGN8977,Ford,Thunderbird,Indigo,1991,"€11420,37",E0W62UX4NCVT9,C128E
WAUKG68E75A101221,TQD8472,Lexus,LX,Blue,2005,"€41704,31",X2W58PY6MIKG9,C582K
WAUEH98E88A293720,NBP3223,Mercedes-Benz,S-Class,Indigo,2001,"€31267,60",C0X36WQ9WTRU3,C454G
WP0CA2A83DS181972,AHS5103,Mazda,MPV,Green,1990,"€20003,45",P8S30VT0YPGX1,C528I
1G6DA67VX90118284,YJC2554,Toyota,Sienna,Mauv,1998,"€29166,56",H1F10GJ5QIPR9,C476V
KMHHT6KD9CU562470,RWY1196,Toyota,Camry,Orange,1997,"€56030,57",J5U93TA0ELTO4,C973W
JN8AE2KP2B9198725,YQK3077,Dodge,Ram 3500,Turquoise,1996,"€78885,27",F3Q83JF5JFGB0,C981L
1G6AM5SXXD0985917,JLU6415,BMW,5 Series,Mauv,2003,"€60214,42",G1K26QN0SGFS2,C874J
SALFR2BG5DH562370,ZMT4683,Audi,100,Teal,1989,"€25552,14",U5B81WI9GKBG7,C606B
2G61M5S31F9619351,NWK5155,Mercury,Villager,Crimson,1993,"€50259,36",W0W49VR8HHMB6,C561R
WBAVB73577K875233,QCF4761,Subaru,Legacy,Crimson,2001,"€9914,75",F4J71NI4AGNO6,C610G
WA1WMAFP9EA451691,UUD4345,Suzuki,Verona,Violet,2005,"€10578,44",J2K42CP3SNFV4,C798F
JN1CV6ELXEM445837,YEZ0308,BMW,Z3,Puce,1996,"€91526,79",F2G90UL9WJWM6,C881S
1C4RDHEG1CC066236,OFX4597,Honda,del Sol,Pink,1994,"€85708,82",B6I78SE7VHDQ3,C642M
YV1672MC7DJ313885,HNU3413,Acura,TL,Puce,2001,"€12861,05",R3J57NT5WEJD9,C619H
JA32U2FU6DU762393,HQQ5060,Mazda,Tribute,Teal,2005,"€30959,15",O3K28ZB9LOHJ5,C594P
WBAEV33454K965208,LFF9569,Cadillac,Escalade EXT,Maroon,2012,"€39921,43",C9G94VX0CYPQ4,C644K
WBA3A9G5XDN568701,HGK6568,Mercedes-Benz,CL65 AMG,Aquamarine,2009,"€90818,25",P4N17OP6ROQA7,C958J
WBAVL1C52DV911687,UHK0521,Rolls-Royce,Phantom,Teal,2010,"€58166,59",V8B85HV4AMEF3,C119C
19UUA75547A962478,GPO0811,GMC,Suburban 1500,Mauv,1998,"€99620,80",Z0A49MI0ZADN2,C214Y
5UXFG2C53DL852998,ATA4307,Isuzu,Ascender,Red,2007,"€45741,83",U2N33JL1ZRNI7,C490Z
WAUUL98E47A093247,ORN6410,Chevrolet,Suburban 1500,Crimson,1997,"€26090,86",B0M24MC2NFMQ4,C402K
1FTEW1CW0AF338407,ECT3302,Volvo,V50,Fuscia,2009,"€59358,39",U3Z34WC7AYBY1,C429U
WP1AA2A27CL876530,XKU5434,Volkswagen,Eurovan,Aquamarine,1999,"€66038,01",X2R46RM2IFQY7,C262T
1GKS1HE04BR434549,QUW7048,Toyota,Land Cruiser,Puce,2013,"€4430,13",Y9F42QV6KCEZ5,C910W
WAUPN94E59N179949,FQU5193,Kia,Amanti,Fuscia,2008,"€93329,93",B2P55HH0DBXZ9,C268N
WBA3T3C51EP055257,OJM1038,Chevrolet,Malibu,Green,1999,"€69285,74",Q4U24SZ6CTYU7,C469X
SCFAD02A67G784766,NZS9810,Ram,Dakota,Turquoise,2011,"€34098,22",E2V72IC5SAKH7,C342D
2HNYD18654H438174,FJO6158,Land Rover,Discovery Series II,Goldenrod,1999,"€13245,75",Q1V68CX2YRZX3,C756B
4JGDF2EE4FA093846,PIM3050,Porsche,Cayman,Blue,2009,"€22462,29",O3J71KV2NEYH8,C717F
3C6TD5DT0CG270520,KIC7370,Ford,Courier,Crimson,1986,"€70971,12",R9C96KJ2FGIQ7,C789C
1FAHP3E27CL651855,IDU1498,Kia,Sephia,Crimson,1995,"€59432,41",V3G68CH9KJGO6,C426U
WBANE73577B126231,IZT2064,Mitsubishi,GTO,Aquamarine,1991,"€591,56",P1J24AK8OVMM9,C086G
1G6DJ8EG9A0456862,DDF9695,Oldsmobile,Regency,Pink,1997,"€76379,06",J4H08HX8MYYZ4,C683R
WAUYP64B91N314681,ICX5463,Land Rover,Range Rover,Aquamarine,2004,"€57041,08",Z3D81OV8EENF3,C449M
WBA3K5C58EF138740,GFG4950,Studebaker,Avanti,Fuscia,1962,"€92886,76",U1G52ZM1BFGX1,C370L
JN1AZ4FH6FM912635,YBO9297,Volvo,S60,Pink,2002,"€50170,01",I5Q65UJ5THPD5,C011L
1GKUKGEJ5AR842999,AHR5652,Cadillac,Escalade ESV,Mauv,2003,"€98836,23",X6M26UY7VLAL5,C245G
1GD11XEG9FF043267,BQW8308,Aston Martin,DB9 Volante,Khaki,2006,"€14529,94",P5X29GN9DBGY8,C147V
1G4GL5E33DF195418,VGO7968,Chevrolet,Suburban 1500,Red,2009,"€64011,12",U9V82HE6LTGI8,C944U
WAUAH74F77N791755,CHK0160,Mitsubishi,Eclipse,Fuscia,2009,"€583,61",K9N78DS1UEXZ3,C454F
1FMEU3DE5AU184890,MXG3843,Volvo,V70,Fuscia,2007,"€859,90",L7W66JT8OBGR2,C983U
WAUFFBFLXCN859686,XLM3354,Ford,F-Series Super Duty,Khaki,2008,"€21765,58",P0T91BM8PABC7,C441S
1G4HB5EMXAU549667,MRM3508,Oldsmobile,LSS,Green,1997,"€32495,61",V4F24UV9CMRV7,C798P
WAUCD54B94N173435,IGB6328,Honda,Civic,Indigo,1989,"€98144,41",H0B18QQ7ETIO2,C782W
WAUFGBFC3DN160589,OSE5520,Hyundai,Tiburon,Maroon,2007,"€23113,13",N8S20NC6RIXI3,C063Z
3D4PH6FV6AT843639,SZT4258,Chevrolet,Malibu,Fuscia,2001,"€55583,18",E9Y07JP3SDZW9,C753Q
2HNYD18964H414153,UGN6839,Buick,Century,Fuscia,1990,"€65872,14",W4D72FV2EONH0,C743A
WBABN33493J650810,SUJ6976,Dodge,Stealth,Puce,1993,"€95738,50",V6M85YZ7NCKD1,C839W
